cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
AVLP194,7,,0,,,female_specific
BM_dOcci,7,sensory neuron,0,,,female_specific
CB1298,7,,0,,,female_specific
CB1466,7,,0,,,female_specific
CB1861,7,,0,,,female_specific
CB2188,7,,0,,,female_specific
CB2344,7,,0,,,female_specific
CB2376,7,,0,,,female_specific
CB2519,7,,0,,,female_specific
CB2580,7,,0,,,female_specific
CB2928,7,,0,,,female_specific
CB3102,7,,0,,,female_specific
CB3287,7,,0,,,female_specific
CoHP8,7,sensory neuron,0,,,female_specific
CvN1-3,7,efferent neuron,0,,,female_specific
DNg08,7,CNS neuron,0,,,female_specific
ER3a_d,7,,0,,,female_specific
ER3d_c,7,,0,,,female_specific
IN03A052,7,,0,,,female_specific
IN03A060,7,,0,,,female_specific
IN03A089,7,,0,,,female_specific
IN03B035,7,,0,,,female_specific
IN03B065,7,,0,,,female_specific
IN03B074,7,,0,,,female_specific
IN03B080,7,,0,,,female_specific
IN03B083,7,,0,,,female_specific
IN04B027,7,,0,,,female_specific
IN04B031,7,,0,,,female_specific
IN05B086,7,,0,,,female_specific
IN06A044,7,,0,,,female_specific
IN06A057,7,,0,,,female_specific
IN06A102,7,,0,,,female_specific
IN06A130,7,,0,,,female_specific
IN07B054,7,,0,,,female_specific
IN07B055,7,,0,,,female_specific
IN08A031,7,,0,,,female_specific
IN08B008,7,,0,,,female_specific
IN08B068,7,,0,,,female_specific
IN08B083,7,,0,,,female_specific
IN09A043,7,CNS neuron,0,,,female_specific
IN09B005,7,,0,,,female_specific
IN11A007,7,glia,0,,,female_specific
IN11B013,7,,0,,,female_specific
IN11B023,7,,0,,,female_specific
IN12A036,7,,0,,,female_specific
IN12A044,7,,0,,,female_specific
IN13A024,7,,0,,,female_specific
IN13A028,7,,0,,,female_specific
IN13A036,7,,0,,,female_specific
IN13A060,7,CNS neuron,0,,,female_specific
IN13B036,7,,0,,,female_specific
IN16B061,7,CNS neuron,0,,,female_specific
IN16B077,7,CNS neuron,0,,,female_specific
IN16B086,7,,0,,,female_specific
IN17A025,7,CNS neuron,0,,,female_specific
IN17A064,7,,0,,,female_specific
IN19A008,7,,0,,,female_specific
IN19A015,7,efferent neuron,0,,,female_specific
IN19A071,7,,0,,,female_specific
IN19A084,7,,0,,,female_specific
IN19A100,7,,0,,,female_specific
IN20A.22A007,7,,0,,,female_specific
IN20A.22A026,7,,0,,,female_specific
IN20A.22A028,7,,0,,,female_specific
IN20A.22A051,7,,0,,,female_specific
IN21A001,7,efferent neuron,0,,,female_specific
IN21A042,7,,0,,,female_specific
IN21A056,7,,0,,,female_specific
IN23B072,7,,0,,,female_specific
INXXX217,7,,0,,,female_specific
INXXX253,7,,0,,,female_specific
INXXX281,7,,0,,,female_specific
